page,key,context,ko,en,ja,zh-CN,zh-TW,es
tutorial,step3_desc,3단계 설명,20가지 필터를 조합하여 나만의 전략으로 번호를 생성할 수 있습니다.,Combine 20 filters to generate numbers with your own strategy.,20種類のフィルターを組み合わせて自分の戦略で番号を生成できます。,组合20种筛选器以您的策略生成号码。,組合20種篩選器以您的策略生成號碼。,Combine 20 filtros para generar números con su propia estrategia.
tutorial,step3_detail1,3단계 상세1,20가지 다양한 필터 조합,20 different filter combinations,20種類の多様なフィルター組み合わせ,20种不同的筛选器组合,20種不同的篩選器組合,20 combinaciones de filtros diferentes
tutorial,step3_detail2,3단계 상세2,핫/콜드 넘버 듀 넘버 분석,Hot/Cold/Due number analysis,ホット/コールドナンバー デューナンバー分析,热门/冷门/到期号码分析,熱門/冷門/到期號碼分析,Análisis de números Calientes/Fríos/Vencidos
tutorial,step3_detail3,3단계 상세3,홀짝 고저 구간 분산 조정,Adjust odd/even high/low distribution,奇数/偶数 高/低 区間分散調整,调整奇数/偶数 高/低分布,調整奇數/偶數 高/低分佈,Ajustar distribución par/impar alto/bajo
tutorial,step3_detail4,3단계 상세4,나만의 전략을 프리셋으로 저장,Save your strategy as a preset,自分の戦略をプリセットとして保存,将您的策略保存为预设,將您的策略保存為預設,Guardar su estrategia como preestablecido
tutorial,step4_title,4단계 제목,포인트 적립 및 활용,Earn and Use Points,ポイント貯めて活用,积累和使用积分,累積和使用積分,Ganar y Usar Puntos
tutorial,step4_desc,4단계 설명,스캔 광고 시청 등으로 포인트를 모아 픽 열람이나 쿠폰 구매에 사용하세요.,Earn points by scanning and watching ads to unlock picks or buy coupons.,スキャンや広告視聴などでポイントを貯めてピックの閲覧やクーポン購入に使いましょう。,通过扫描和观看广告赚取积分以解锁号码或购买优惠券。,通過掃描和觀看廣告賺取積分以解鎖號碼或購買優惠券。,Gane puntos escaneando y viendo anuncios para desbloquear números o comprar cupones.
tutorial,step4_detail1,4단계 상세1,티켓 스캔으로 포인트 획득,Earn points by scanning tickets,チケットスキャンでポイント獲得,扫描彩票获得积分,掃描彩票獲得積分,Gane puntos escaneando tickets
tutorial,step4_detail2,4단계 상세2,광고 시청으로 추가 적립,Earn extra by watching ads,広告視聴で追加獲得,观看广告获得额外积分,觀看廣告獲得額外積分,Gane extra viendo anuncios
tutorial,step4_detail3,4단계 상세3,포인트샵에서 쿠폰 구매,Buy coupons in point shop,ポイントショップでクーポン購入,在积分商城购买优惠券,在積分商城購買優惠券,Comprar cupones en tienda de puntos
tutorial,step4_detail4,4단계 상세4,픽 열람이나 챔피언십 생성에 사용,Use for unlocking picks or championship,ピック閲覧やチャンピオンシップ生成に使用,用于解锁号码或锦标赛生成,用於解鎖號碼或錦標賽生成,Usar para desbloquear números o campeonato

point_shop,title,포인트샵 제목,포인트샵,Point Shop,ポイントショップ,积分商城,積分商城,Tienda de Puntos
point_shop,my_points,내 포인트,내 포인트,My Points,マイポイント,我的积分,我的積分,Mis Puntos
point_shop,subscription_section,구독권 섹션,구독권 구매,Buy Subscription,サブスクリプション購入,购买订阅,購買訂閱,Comprar Suscripción
point_shop,ticket_section,티켓 섹션,챔피언십 티켓 구매,Buy Championship Tickets,チャンピオンシップチケット購入,购买锦标赛门票,購買錦標賽門票,Comprar Tickets de Campeonato
point_shop,most_economical,가장 경제적,가장 경제적,Most Economical,最もお得,最经济,最經濟,Más Económico
point_shop,discount,할인,{percent}% 할인,{percent}% OFF,{percent}%割引,{percent}%折扣,{percent}%折扣,{percent}% de Descuento
point_shop,buy,구매,구매하기,Buy,購入,购买,購買,Comprar
point_shop,view_history,내역 보기,전체 내역 보기,View All History,すべての履歴を見る,查看全部记录,查看全部記錄,Ver Todo el Historial
point_shop,purchase_complete,구매 완료,구매 완료!,Purchase Complete!,購入完了！,购买完成！,購買完成！,¡Compra Completada!
point_shop,purchased,구매함,{item}을 구매했어요!,You purchased {item}!,{item}を購入しました！,您购买了{item}！,您購買了{item}！,¡Compraste {item}!
point_shop,points_used,사용 포인트,사용한 포인트,Points Used,使用したポイント,使用的积分,使用的積分,Puntos Usados
point_shop,remaining_points,남은 포인트,남은 포인트,Remaining Points,残りポイント,剩余积分,剩餘積分,Puntos Restantes
point_shop,subscription_period,구독 기간,구독 기간,Subscription Period,サブスクリプション期間,订阅期间,訂閱期間,Período de Suscripción
point_shop,tickets_granted,지급 티켓,지급된 티켓,Tickets Granted,付与されたチケット,赠送的门票,贈送的門票,Tickets Otorgados
point_shop,go_home,홈으로,홈으로,Go Home,ホームへ,返回主页,返回主頁,Ir al Inicio
point_shop,continue_shopping,계속 쇼핑,계속 쇼핑하기,Continue Shopping,ショッピングを続ける,继续购物,繼續購物,Continuar Comprando
point_shop,insufficient_dialog,포인트 부족 다이얼로그,포인트가 부족해요,Insufficient Points,ポイントが不足しています,积分不足,積分不足,Puntos Insuficientes
point_shop,needed_points,필요 포인트,필요 포인트,Needed Points,必要ポイント,需要积分,需要積分,Puntos Necesarios
point_shop,shortage,부족,부족 포인트,Shortage,不足ポイント,不足积分,不足積分,Faltante
point_shop,go_scan,스캔하러 가기,스캔하러 가기,Go Scan,スキャンしに行く,去扫描,去掃描,Ir a Escanear

auth,login,로그인,로그인,Login,ログイン,登录,登入,Iniciar Sesión
auth,signup,회원가입,회원가입,Sign Up,会員登録,注册,註冊,Registrarse
auth,email,이메일,이메일,Email,メール,邮箱,郵箱,Email
auth,password,비밀번호,비밀번호,Password,パスワード,密码,密碼,Contraseña
auth,password_confirm,비밀번호 확인,비밀번호 확인,Confirm Password,パスワード確認,确认密码,確認密碼,Confirmar Contraseña
auth,nickname,닉네임,닉네임,Nickname,ニックネーム,昵称,暱稱,Apodo
auth,agree_terms,약관 동의,이용약관에 동의합니다,I agree to Terms of Service,利用規約に同意します,我同意服务条款,我同意服務條款,Acepto los Términos de Servicio
auth,agree_privacy,개인정보 동의,개인정보 처리방침에 동의합니다,I agree to Privacy Policy,プライバシーポリシーに同意します,我同意隐私政策,我同意隱私政策,Acepto la Política de Privacidad
auth,forgot_password,비밀번호 찾기,비밀번호를 잊으셨나요?,Forgot Password?,パスワードをお忘れですか？,忘记密码？,忘記密碼？,¿Olvidó su Contraseña?
auth,no_account,계정 없음,계정이 없으신가요?,Don't have an account?,アカウントをお持ちではありませんか？,还没有账户？,還沒有帳戶？,¿No tiene una cuenta?
auth,have_account,계정 있음,이미 계정이 있으신가요?,Already have an account?,すでにアカウントをお持ちですか？,已有账户？,已有帳戶？,¿Ya tiene una cuenta?

notification,title,알림 제목,알림,Notifications,通知,通知,通知,Notificaciones
notification,no_notifications,알림 없음,알림이 없습니다,No notifications,通知がありません,没有通知,沒有通知,No hay notificaciones
notification,mark_read,읽음 표시,읽음 처리,Mark as Read,既読にする,标记为已读,標記為已讀,Marcar como Leído
notification,delete,삭제,삭제,Delete,削除,删除,刪除,Eliminar

help,title,고객센터 제목,고객센터,Help Center,お問い合わせ,客服中心,客服中心,Centro de Ayuda
help,faq,FAQ,자주 묻는 질문,FAQ,よくある質問,常见问题,常見問題,Preguntas Frecuentes
help,contact,문의하기,문의하기,Contact Us,お問い合わせ,联系我们,聯絡我們,Contáctenos
help,terms,이용약관,이용약관,Terms of Service,利用規約,服务条款,服務條款,Términos de Servicio
help,privacy,개인정보,개인정보 처리방침,Privacy Policy,プライバシーポリシー,隐私政策,隱私政策,Política de Privacidad
help,version,버전,버전,Version,バージョン,版本,版本,Versión

error,network,네트워크 에러,네트워크 오류가 발생했습니다,Network error occurred,ネットワークエラーが発生しました,发生网络错误,發生網路錯誤,Se produjo un error de red
error,server,서버 에러,서버 오류가 발생했습니다,Server error occurred,サーバーエラーが発生しました,发生服务器错误,發生伺服器錯誤,Se produjo un error del servidor
error,not_found,찾을 수 없음,페이지를 찾을 수 없습니다,Page not found,ページが見つかりません,找不到页面,找不到頁面,Página no encontrada
error,unauthorized,권한 없음,권한이 없습니다,Unauthorized,権限がありません,无权限,無權限,No autorizado
error,try_again,다시 시도,다시 시도해주세요,Please try again,もう一度お試しください,请重试,請重試,Por favor intente de nuevo
# HomeTab 추가 항목들
home,type_championship,타입 라벨,챔피언십,Championship,チャンピオンシップ,锦标赛,錦標賽,Campeonato
home,type_pick,타입 라벨,CWG픽,CWG Pick,CWGピック,CWG推荐,CWG推薦,Pick CWG
home,lottery_name_kr,한국 로또 전체,한국 로또 6/45,Korea Lotto 6/45,韓国ロト6/45,韩国乐透6/45,韓國樂透6/45,Lotto Coreano 6/45
home,lottery_short,로또 짧게,로또 6/45,Lotto 6/45,ロト6/45,乐透6/45,樂透6/45,Lotto 6/45
home,scans_count,스캔 횟수,이번 달 스캔: {current}/{total}회,Scans This Month: {current}/{total},今月のスキャン: {current}/{total}回,本月扫描: {current}/{total}次,本月掃描: {current}/{total}次,Escaneos Este Mes: {current}/{total}
home,scans_remaining,남은 스캔,{count}회 남음,{count} remaining,残り{count}回,剩余{count}次,剩餘{count}次,{count} restantes
home,no_winning_picks_short,픽 없음 짧게,아직 당첨 픽이 없어요,No winning picks yet,まだ当選ピックがありません,还没有中奖号码,還沒有中獎號碼,Aún no hay números ganadores
home,get_picks_wait,픽 기다리기,픽을 받고 당첨을 기다려보세요!,Get picks and wait for results!,ピックを取得して結果を待ちましょう！,获取号码并等待开奖！,獲取號碼並等待開獎！,¡Obtenga números y espere los resultados!
home,go_to_picks_short,픽으로 가기,픽생성 보러가기 >,Go to Picks >,ピックを見る >,查看号码生成 >,查看號碼生成 >,Ir a Números >
home,draw_info,회차 정보,제{round}회 · {date} 추첨,Round {round} · Draw {date},第{round}回 · {date}抽選,第{round}期 · {date}开奖,第{round}期 · {date}開獎,Ronda {round} · Sorteo {date}
home,matched_count,적중 개수,{count}개 적중 · {prize},Matched {count} · {prize},{count}個適中 · {prize},匹配{count}个 · {prize},匹配{count}個 · {prize},Coincidieron {count} · {prize}
home,winning_numbers,당첨번호,당첨번호: {numbers},Winning Numbers: {numbers},当選番号: {numbers},中奖号码: {numbers},中獎號碼: {numbers},Números Ganadores: {numbers}

# PicksTab 추가 항목들
picks,page_title,페이지 타이틀,CWG 픽생성,CWG Picks,CWGピック生成,CWG号码生成,CWG號碼生成,Generación CWG
picks,lottery_round,회차 표시,KR 한국 로또 6/45 · 제{round}회,KR Korea Lotto 6/45 · Round {round},KR 韓国ロト6/45 · 第{round}回,KR 韩国乐透6/45 · 第{round}期,KR 韓國樂透6/45 · 第{round}期,KR Lotto Coreano 6/45 · Ronda {round}
picks,prize_amount,당첨금액,25억원,2.5 Billion Won,25億ウォン,25亿韩元,25億韓元,2.5 Mil Millones de Won
picks,draw_info,추첨정보,추첨일: {date},Draw Date: {date},抽選日: {date},开奖日期: {date},開獎日期: {date},Fecha de Sorteo: {date}
picks,after_tax_amount,세후 금액,세후 수령액: {amount},After Tax: {amount},税引後受取額: {amount},税后金额: {amount},稅後金額: {amount},Después de Impuestos: {amount}
picks,tax_info,세금 정보,17억 5천만원 (33% 과세),1.75 Billion Won (33% Tax),17億5千万ウォン（33%課税）,17.5亿韩元（33%税费）,17.5億韓元（33%稅費）,1.75 Mil Millones de Won (33% Impuesto)
picks,sets_count,세트 개수,생성된 픽 (10세트),Generated Picks (10 Sets),生成されたピック（10セット）,已生成号码（10组）,已生成號碼（10組）,Números Generados (10 Sets)
picks,login_to_view,로그인하여 보기,로그인 후 픽을 열람할 수 있습니다,You can view picks after login,ログイン後にピックを閲覧できます,登录后可查看号码,登入後可查看號碼,Puede ver los números después de iniciar sesión
picks,start_free_cta,무료 시작 버튼,무료로 시작하기,Start Free,無料で始める,免费开始,免費開始,Comenzar Gratis
picks,unlock_options,열람 옵션,• {cost}P로 1회 열람,• Unlock for {cost}P,• {cost}Pで1回閲覧,• {cost}P解锁1次,• {cost}P解鎖1次,• Desbloquear por {cost}P
picks,subscribe_option,구독 옵션,• 구독하면 무제한,• Unlimited with subscription,• サブスクリプションで無制限,• 订阅享无限次数,• 訂閱享無限次數,• Ilimitado con suscripción
picks,current_balance,현재 잔액,보유 포인트: {points}P,Your Points: {points}P,保有ポイント: {points}P,当前积分: {points}P,當前積分: {points}P,Sus Puntos: {points}P
picks,unlock_cta,열람 CTA,{cost}P로 열람하기,Unlock for {cost}P,{cost}Pで閲覧,{cost}P解锁,{cost}P解鎖,Desbloquear por {cost}P
picks,points_shortage,포인트 부족 메시지,포인트 부족 ({needed}P 더 필요),Insufficient Points ({needed}P more needed),ポイント不足（あと{needed}P必要）,积分不足（还需{needed}P）,積分不足（還需{needed}P）,Puntos Insuficientes ({needed}P más necesarios)
picks,learn_more,더 알아보기,구독 알아보기 >,Learn About Subscription >,サブスクリプションについて >,了解订阅 >,了解訂閱 >,Más Sobre Suscripción >
picks,auto_check_info,자동 확인 안내,추첨 후 번호 일치 결과가 자동으로 확인됩니다,Results will be automatically checked after the draw,抽選後に番号の一致結果が自動的に確認されます,开奖后将自动检查号码,開獎後將自動檢查號碼,Los resultados se verificarán automáticamente después del sorteo
picks,ai_disclaimer,AI 면책,CWG 픽의 번호는 AI 분석 알고리즘에 기반하여 랜덤으로 생성되며 당첨을 보장하지 않습니다. 당첨 결과에 대한 책임은 사용자 본인에게 있습니다.,CWG Pick numbers are randomly generated based on AI analysis algorithms and do not guarantee winning. Users are responsible for the results.,CWGピックの番号はAI分析アルゴリズムに基づいてランダムに生成され当選を保証するものではありません。当選結果についての責任はユーザー本人にあります。,CWG推荐号码基于AI分析算法随机生成，不保证中奖。中奖结果的责任由用户本人承担。,CWG推薦號碼基於AI分析算法隨機生成，不保證中獎。中獎結果的責任由用戶本人承擔。,Los números de CWG Picks se generan aleatoriamente basándose en algoritmos de análisis de IA y no garantizan ganar. Los usuarios son responsables de los resultados.
picks,confirm_unlock_title,확인 제목,픽 열람 확인,Confirm Unlock,ピック閲覧確認,确认解锁号码,確認解鎖號碼,Confirmar Desbloqueo
picks,confirm_unlock_desc,확인 설명,{cost}P를 사용해서 이번 주 CWG 픽 10세트를 열람합니다,Use {cost}P to view this week's CWG picks (10 sets),{cost}Pを使用して今週のCWGピック10セットを閲覧します,使用{cost}P查看本周CWG推荐10组号码,使用{cost}P查看本週CWG推薦10組號碼,Use {cost}P para ver los números CWG de esta semana (10 sets)
picks,responsibility_notice,책임 공지,번호는 사용자마다 랜덤으로 생성되며 당첨 결과에 대한 책임을 지지 않습니다.,Numbers are randomly generated per user and we are not responsible for winning results.,番号はユーザーごとにランダムに生成され当選結果についての責任を負いません。,号码为每个用户随机生成，我们不对中奖结果负责。,號碼為每個用戶隨機生成，我們不對中獎結果負責。,Los números se generan aleatoriamente por usuario y no somos responsables de los resultados.

# Championship 필터 상세 항목들
championship,filter_due,듀 넘버,듀 넘버,Due Numbers,デューナンバー,到期号码,到期號碼,Números Vencidos
championship,filter_due_desc,듀 넘버 설명,출현 주기 대비 미출현 번호,Numbers overdue based on frequency,出現周期に対して未出現の番号,基于频率应出现的号码,基於頻率應出現的號碼,Números vencidos según frecuencia
championship,filter_freq_balance,빈도 균형,빈도 균형,Frequency Balance,頻度バランス,频率平衡,頻率平衡,Balance de Frecuencia
championship,filter_freq_balance_desc,빈도 균형 설명,핫/콜드 균형 잡힌 구성,Balanced hot/cold composition,ホット/コールドのバランス構成,热门/冷门平衡组合,熱門/冷門平衡組合,Composición equilibrada caliente/frío
championship,filter_odd_even,홀짝 균형,홀짝 균형,Odd/Even Balance,奇数/偶数バランス,奇偶平衡,奇偶平衡,Balance Par/Impar
championship,filter_odd_even_desc,홀짝 설명,홀수/짝수 비율 조정 (3:3 선호),Adjust odd/even ratio (prefer 3:3),奇数/偶数比率調整（3:3推奨）,调整奇偶比例（偏好3:3）,調整奇偶比例（偏好3:3）,Ajustar relación par/impar (preferir 3:3)
championship,filter_high_low,고저 균형,고저 균형,High/Low Balance,高/低バランス,高低平衡,高低平衡,Balance Alto/Bajo
championship,filter_high_low_desc,고저 설명,고번호/저번호 비율 조정,Adjust high/low number ratio,高番号/低番号の比率調整,调整高低号码比例,調整高低號碼比例,Ajustar relación números altos/bajos
championship,filter_consecutive,연속 번호,연속 번호,Consecutive Numbers,連続番号,连续号码,連續號碼,Números Consecutivos
championship,filter_consecutive_desc,연속 설명,연속된 번호 포함 정도,Degree of consecutive numbers,連続した番号の含有度,连续号码包含程度,連續號碼包含程度,Grado de números consecutivos
championship,filter_section_spread,구간 분산,구간 분산,Section Spread,区間分散,区间分布,區間分佈,Distribución por Secciones
championship,filter_section_spread_desc,구간 설명,전 구간 균등 분포 선호,Prefer even distribution across sections,全区間の均等分布を優先,偏好全区间均匀分布,偏好全區間均勻分佈,Preferir distribución uniforme por secciones
championship,filter_number_gap,번호 간격,번호 간격,Number Gap,番号間隔,号码间隔,號碼間隔,Espacio Entre Números
championship,filter_number_gap_desc,번호 간격 설명,번호 간 적절한 간격 유지,Maintain appropriate gaps between numbers,番号間の適切な間隔を維持,保持号码之间适当间隔,保持號碼之間適當間隔,Mantener espacios apropiados entre números
championship,filter_edge_number,끝번호,끝번호,Edge Numbers,エッジナンバー,边缘号码,邊緣號碼,Números de Borde
championship,filter_edge_number_desc,끝번호 설명,1 45 등 끝자리 번호 선호,Prefer edge numbers like 1 45,1、45などのエッジ番号を優先,偏好1、45等边缘号码,偏好1、45等邊緣號碼,Preferir números de borde como 1 45
championship,filter_sum_range,합계 범위,합계 범위,Sum Range,合計範囲,总和范围,總和範圍,Rango de Suma
championship,filter_sum_range_desc,합계 설명,6개 합계 100~175 권장 범위,Recommended sum range 100~175 for 6 numbers,6個の合計100〜175推奨範囲,6个号码总和推荐100~175,6個號碼總和推薦100~175,Rango de suma recomendado 100~175 para 6 números
championship,filter_prime_ratio,소수 비율,소수 비율,Prime Ratio,素数比率,质数比例,質數比例,Proporción de Primos
championship,filter_prime_ratio_desc,소수 설명,소수 번호 포함 비율 조정,Adjust ratio of prime numbers,素数番号の含有比率を調整,调整质数号码比例,調整質數號碼比例,Ajustar proporción de números primos
championship,filter_ac_value,AC값,AC值,AC Value,AC値,AC值,AC值,Valor AC
championship,filter_ac_value_desc,AC값 설명,번호 복잡도 7~10 범위 선호,Prefer complexity range 7~10,複雑度7〜10範囲を優先,偏好复杂度范围7~10,偏好複雜度範圍7~10,Preferir rango de complejidad 7~10
championship,filter_last_digit,끝자리 다양성,끝자리 다양성,Last Digit Diversity,末尾数字の多様性,个位数多样性,個位數多樣性,Diversidad de Último Dígito
championship,filter_last_digit_desc,끝자리 설명,끝자리 번호 다양성 확보,Ensure diversity in last digits,末尾数字の多様性を確保,确保个位数多样性,確保個位數多樣性,Asegurar diversidad en últimos dígitos
championship,filter_prev_include,이전 당첨 포함,이전 당첨 포함,Include Previous Winners,前回当選を含む,包含上期中奖,包含上期中獎,Incluir Ganadores Previos
championship,filter_prev_include_desc,이전 포함 설명,이전 회차 당첨번호 일부 포함,Include some numbers from previous draw,前回当選番号の一部を含む,包含部分上期中奖号码,包含部分上期中獎號碼,Incluir algunos números del sorteo anterior
championship,filter_prev_exclude,이전 당첨 제외,이전 당첨 제외,Exclude Previous Winners,前回当選を除外,排除上期中奖,排除上期中獎,Excluir Ganadores Previos
championship,filter_prev_exclude_desc,이전 제외 설명,이전 회차 당첨번호 제외,Exclude numbers from previous draw,前回当選番号を除外,排除上期中奖号码,排除上期中獎號碼,Excluir números del sorteo anterior
championship,filter_losing_avoid,낙첨 패턴 회피,낙첨 패턴 회피,Avoid Losing Patterns,落選パターン回避,避免未中奖模式,避免未中獎模式,Evitar Patrones Perdedores
championship,filter_losing_avoid_desc,낙첨 회피 설명,반복 낙첨 조합 패턴 피하기,Avoid repeatedly losing combination patterns,繰り返し落選する組み合わせパターンを回避,避免重复未中奖组合模式,避免重複未中獎組合模式,Evitar patrones de combinaciones perdedoras repetidas
championship,filter_history_exclude,내 번호 중복 제외,내 번호 중복 제외,Exclude My Previous Numbers,自分の番号重複除外,排除我的号码重复,排除我的號碼重複,Excluir Mis Números Previos
championship,filter_history_exclude_desc,내 번호 설명,과거 생성 번호와 중복 방지,Prevent duplicates with previously generated numbers,過去生成番号との重複を防止,防止与之前生成的号码重复,防止與之前生成的號碼重複,Prevenir duplicados con números generados previamente
championship,filter_lucky_number,럭키 번호 포함,럭키 번호 포함,Include Lucky Numbers,ラッキーナンバーを含む,包含幸运号码,包含幸運號碼,Incluir Números de Suerte
championship,filter_lucky_number_desc,럭키 설명,설정한 럭키 번호 우선 포함,Prioritize your lucky numbers,設定したラッキーナンバーを優先,优先包含您的幸运号码,優先包含您的幸運號碼,Priorizar sus números de suerte
championship,filter_exclude_number,제외 번호 배제,제외 번호 배제,Exclude Specific Numbers,除外番号を排除,排除特定号码,排除特定號碼,Excluir Números Específicos
championship,filter_exclude_number_desc,제외 설명,설정한 제외 번호 반드시 제외,Always exclude your specified numbers,設定した除外番号を必ず排除,始终排除您指定的号码,始終排除您指定的號碼,Siempre excluir sus números especificados
championship,login_required,로그인 필요,로그인 필요,Login Required,ログインが必要,需要登录,需要登入,Inicio de Sesión Requerido
championship,free_remaining,무료 남음,오늘 1회 무료 남음!,1 Free Remaining Today!,今日1回無料残り！,今日剩余1次免费！,今日剩餘1次免費！,¡1 Gratis Restante Hoy!
championship,login_to_use,로그인하여 사용,로그인 후 사용 가능합니다,Available after login,ログイン後に使用可能,登录后可使用,登入後可使用,Disponible después de iniciar sesión

# MyTab 추가 항목들
my,not_registered_title,미가입 제목,아직 가입하지 않으셨나요?,Haven't signed up yet?,まだ登録していませんか？,还没有注册吗？,還沒有註冊嗎？,¿Aún no se ha registrado?
my,not_registered_desc,미가입 설명,가입하면 +100P 보너스와 함께 모든 기능을 이용할 수 있어요,Sign up to get +100P bonus and access all features,登録すると+100Pボーナスと全機能が利用できます,注册即可获得+100P奖励并使用所有功能,註冊即可獲得+100P獎勵並使用所有功能,Regístrese para obtener +100P de bonificación y acceder a todas las funciones
my,start_free_button,무료 시작,무료로 시작하기,Start Free,無料で始める,免费开始,免費開始,Comenzar Gratis
my,login_button,로그인 버튼,로그인,Login,ログイン,登录,登入,Iniciar Sesión
my,page_title,페이지 제목,마이,MY,マイ,我的,我的,Mi Cuenta
my,joined_date_label,가입일 라벨,가입일: {date},Joined: {date},加入日: {date},加入日期: {date},加入日期: {date},Fecha de Registro: {date}
my,points_label,포인트 라벨,내 포인트,My Points,マイポイント,我的积分,我的積分,Mis Puntos
my,expires_label,만료일 라벨,만료 예정: {date},Expires: {date},有効期限: {date},到期日期: {date},到期日期: {date},Expira: {date}
my,view_history,내역 보기,거래 내역 보기 >,View Transaction History >,取引履歴を見る >,查看交易记录 >,查看交易記錄 >,Ver Historial de Transacciones >
my,scan_stats_title,스캔 통계,이번 달 스캔 통계,This Month's Scan Statistics,今月のスキャン統計,本月扫描统计,本月掃描統計,Estadísticas de Escaneo de Este Mes
my,scan_count_label,스캔 횟수 라벨,스캔 횟수,Scan Count,スキャン回数,扫描次数,掃描次數,Conteo de Escaneos
my,points_earned_label,획득 포인트 라벨,획득 포인트,Points Earned,獲得ポイント,获得积分,獲得積分,Puntos Ganados
my,scans_left_label,남은 스캔 라벨,남은 스캔,Scans Left,残りスキャン,剩余扫描,剩餘掃描,Escaneos Restantes
my,tier_active,티어 활성,{tier} 구독 중,{tier} Active,{tier}利用中,{tier}订阅中,{tier}訂閱中,{tier} Activo
my,renews_date,갱신 예정,{date} 갱신 예정,Renews on {date},{date}更新予定,{date}续订,{date}續訂,Se renueva el {date}
my,manage_button,관리 버튼,관리,Manage,管理,管理,管理,Administrar
my,free_member,무료 회원,무료 회원,Free Member,無料会員,免费会员,免費會員,Miembro Gratuito
my,upgrade_benefit,업그레이드 혜택,구독하면 포인트 1.5배 + 픽 무제한,Subscribe for 1.5x points + unlimited picks,サブスクリプションでポイント1.5倍+ピック無制限,订阅享1.5倍积分+无限号码,訂閱享1.5倍積分+無限號碼,Suscríbase para 1.5x puntos + números ilimitados
my,upgrade_button,업그레이드 버튼,업그레이드,Upgrade,アップグレード,升级,升級,Actualizar
my,menu_title,메뉴 제목,메뉴,Menu,メニュー,菜单,菜單,Menú
my,menu_point_shop,포인트샵 메뉴,포인트샵,Point Shop,ポイントショップ,积分商城,積分商城,Tienda de Puntos
my,menu_subscription,구독 메뉴,구독 관리,Subscription,サブスクリプション管理,订阅管理,訂閱管理,Suscripción
my,menu_coupon,쿠폰 메뉴,쿠폰함,Coupon Wallet,クーポンウォレット,优惠券钱包,優惠券錢包,Cartera de Cupones
my,menu_lucky,럭키번호 메뉴,럭키/제외 번호,Lucky/Exclude Numbers,ラッキー/除外番号,幸运/排除号码,幸運/排除號碼,Números de Suerte/Excluidos
my,menu_notifications,알림 메뉴,알림 설정,Notification Settings,通知設定,通知设置,通知設置,Configuración de Notificaciones
my,menu_language,언어 메뉴,언어 설정,Language Settings,言語設定,语言设置,語言設置,Configuración de Idioma
my,menu_tutorial,튜토리얼 메뉴,사용 가이드,Tutorial,使用ガイド,使用指南,使用指南,Tutorial
my,menu_help,고객센터 메뉴,고객센터,Help Center,お問い合わせ,客服中心,客服中心,Centro de Ayuda
my,version_label,버전 라벨,버전: {version},Version: {version},バージョン: {version},版本: {version},版本: {version},Versión: {version}
my,logout_button,로그아웃 버튼,로그아웃,Logout,ログアウト,退出登录,登出,Cerrar Sesión
my,language_select_title,언어 선택 제목,언어 선택 / Select Language,Select Language / 言語選択,選擇語言 / Select Language,选择语言 / Select Language,選擇語言 / Select Language,Seleccionar Idioma / Select Language
my,close_button,닫기 버튼,닫기 / Close,Close / 閉じる,關閉 / Close,关闭 / Close,關閉 / Close,Cerrar / Close
my,logout_confirm_title,로그아웃 확인 제목,로그아웃,Logout,ログアウト,退出登录,登出,Cerrar Sesión
my,logout_confirm_message,로그아웃 확인 메시지,로그아웃 하시겠습니까?,Are you sure you want to logout?,ログアウトしますか？,确定要退出登录吗？,確定要登出嗎？,¿Está seguro de que desea cerrar sesión?

# Login/Auth 추가 항목들
auth,page_title,페이지 타이틀,CWG - 로그인,CWG - Login,CWG - ログイン,CWG - 登录,CWG - 登入,CWG - Iniciar Sesión
auth,tagline,태그라인,낙첨 복권을 스캔하고 포인트를 돌려받으세요,Scan losing lottery tickets and get points back,落選チケットをスキャンしてポイントを取り戻しましょう,扫描未中奖彩票并获得积分,掃描未中獎彩票並獲得積分,Escanee tickets perdedores y recupere puntos
auth,device_login,기기 로그인,기기로 로그인,Login with Device,デバイスでログイン,使用设备登录,使用裝置登入,Iniciar Sesión con Dispositivo
auth,signup_bonus,회원가입 보너스,회원가입 (+100P 보너스),Sign Up (+100P Bonus),会員登録（+100Pボーナス）,注册（+100P奖励）,註冊（+100P獎勵）,Registrarse (+100P Bonificación)
auth,device_auth_info,기기 인증 안내,기기 기반 인증으로 별도 비밀번호 없이 로그인할 수 있어요. 기기 분실 대비를 위해 이메일을 등록해두세요.,You can login without password using device-based authentication. Register your email in case of device loss.,デバイスベース認証でパスワードなしでログインできます。デバイス紛失に備えてメールを登録してください。,您可以使用基于设备的身份验证无需密码登录。请注册电子邮件以防设备丢失。,您可以使用基於裝置的身份驗證無需密碼登入。請註冊電子郵件以防裝置遺失。,Puede iniciar sesión sin contraseña usando autenticación basada en dispositivo. Registre su email en caso de pérdida del dispositivo.
auth,terms_agreement,약관 동의,계속 진행하면 이용약관 및 개인정보 처리방침에 동의하는 것으로 간주됩니다.,By continuing you agree to our Terms of Service and Privacy Policy.,続行すると利用規約およびプライバシーポリシーに同意したものとみなされます。,继续即表示您同意我们的服务条款和隐私政策。,繼續即表示您同意我們的服務條款和隱私政策。,Al continuar acepta nuestros Términos de Servicio y Política de Privacidad.
auth,terms_link,이용약관 링크,이용약관,Terms of Service,利用規約,服务条款,服務條款,Términos de Servicio
